(",2.1396850115E10)
(the,2.0606096351E10)
(.,1.6834514285E10)
(of,1.2166056279E10)
(and,8.834253819E9)
(to,7.445560815E9)
(in,6.604935265E9)
(a,5.891889167E9)
d,3.312106937E9)
(-,3.28559093E9)
(is,3.249100211E9)
(that,3.078542673E9)
(for,2.490339227E9)
(as,2.227787026E9)
(it,2.187126782E9)
(was,2.13796673E9)
((,2.129958825E9)
(),2.128706986E9)
(with,2.02337036E9)
(be,1.867244958E9)
(by,1.833523772E9)
(',1.746927635E9)
(on,1.744135697E9)
(he,1.618111996E9)
(i,1.537173507E9)
(this,1.486781095E9)
(;,1.455979914E9)
(his,1.455072066E9)
(are,1.407321963E9)
(not,1.382136012E9)
(or,1.379491659E9)
(from,1.345434142E9)
(:,1.324596725E9)
(at,1.31981627E9)
(which,1.261892233E9)
(but,1.107046504E9)
(have,1.073245161E9)
(an,1.04492993E9)
(had,1.019196205E9)
(they,9.61370983E8)
(were,8.85582218E8)
(their,8.44882935E8)
(you,8.27184071E8)
(one,8.18352625E8)
(all,8.09408286E8)
(we,8.06515842E8)
(been,6.37091165E8)
(has,6.33932582E8)
(there,6.23634712E8)
(her,6.10530844E8)
(more,5.97459548E8)
(if,5.87015528E8)
(no,5.85862717E8)
(when,5.85493954E8)
(who,5.76237364E8)
(so,5.6934232E8)
(1,5.56973932E8)
(would,5.5460347E8)
(will,5.520267E8)
(—,5.41877551E8)
(its,5.36489045E8)
(can,5.30839727E8)
(other,5.25539779E8)
(may,5.14965345E8)
(these,5.10344396E8)
(she,4.97108102E8)
(?,4.79541589E8)
(him,4.75218427E8)
(them,4.74548162E8)
(some,4.58330726E8)
(than,4.57034726E8)
(what,4.54651489E8)
(time,4.43009345E8)
(into,4.41433331E8)
(only,4.41337185E8)
(my,4.29404122E8)
(such,4.24362601E8)
(new,4.05453424E8)
(about,4.02090604E8)
(out,3.99474648E8)
(two,3.97523106E8)
(also,3.97090604E8)
(any,3.73152427E8)
(up,3.68511086E8)
(first,3.54884963E8)
(our,3.4570634E8)
(then,3.38420395E8)
(do,3.36188542E8)
(t,3.34828048E8)
(most,3.31815584E8)
(me,3.27355317E8)
(could,3.21975398E8)
(see,3.21945419E8)
(should,3.13180459E8)
(after,3.12242839E8)
(2,3.06166638E8)
(very,2.96838376E8)
(said,2.92965548E8)
(between,2.88166577E8)
(made,2.87271616E8)
')")")
