(",2.1396850115E10)
(the,1.8399669358E10)
(.,1.6834514285E10)
(of,1.2042045526E10)
(and,8.588851162E9)
(to,7.305545226E9)
(in,5.956669421E9)
(a,5.422911334E9)
c,3.312106937E9)
(-,3.28559093E9)
(is,3.211700708E9)
(that,2.992927085E9)
(for,2.29889203E9)
((,2.129958825E9)
(),2.128706986E9)
(was,2.127747161E9)
(The,2.111040694E9)
(as,2.055536341E9)
(with,1.95498501E9)
(be,1.854720465E9)
(by,1.75480906E9)
(',1.746927635E9)
(it,1.697497679E9)
(on,1.622712752E9)
(I,1.469274388E9)
(;,1.455979914E9)
(are,1.391177633E9)
(or,1.357692838E9)
(his,1.348881624E9)
(not,1.343383355E9)
(:,1.324596725E9)
(from,1.279324656E9)
(which,1.252688599E9)
(he,1.215367495E9)
(at,1.20730314E9)
(this,1.111252699E9)
(have,1.062309274E9)
(had,1.011604775E9)
(an,9.71344215E8)
(were,8.81057384E8)
(but,8.3382549E8)
(their,8.13177159E8)
(they,7.70541348E8)
(all,7.33735381E8)
(one,7.23510124E8)
(you,7.03123181E8)
(been,6.36350692E8)
(has,6.29576352E8)
(In,6.23405308E8)
(we,6.12119776E8)
(her,5.8063436E8)
(more,5.77448203E8)
(1,5.56973932E8)
(who,5.5634193E8)
(would,5.47761849E8)
(—,5.41877551E8)
(will,5.38555205E8)
(can,5.17156678E8)
(its,5.11132924E8)
(so,5.04744357E8)
(other,4.9620977E8)
(It,4.842824E8)
(?,4.79541589E8)
(them,4.73473707E8)
(no,4.71628345E8)
(may,4.69147786E8)
(A,4.68977833E8)
(him,4.64682817E8)
(than,4.55438274E8)
(there,4.53429933E8)
(when,4.42653525E8)
(into,4.3848477E8)
(time,4.26464547E8)
(only,4.19559113E8)
(these,4.0131213E8)
(He,4.00023637E8)
(some,3.97113823E8)
(if,3.96902609E8)
(out,3.92300859E8)
(about,3.89604081E8)
(such,3.86728521E8)
(also,3.80025408E8)
(my,3.77325682E8)
(This,3.73314286E8)
(two,3.65643001E8)
(she,3.63415119E8)
(any,3.60975483E8)
(up,3.60654052E8)
(what,3.38758231E8)
(me,3.19201447E8)
(could,3.1786576E8)
(first,3.15279106E8)
(our,3.15236293E8)
(do,3.07617185E8)
(should,3.06805654E8)
(2,3.06166638E8)
(most,3.02939264E8)
(t,2.93596998E8)
(said,2.90575303E8)
(very,2.87940664E8)
