19610402,-2.0,5.2,1.0,-7.0,0.1,7.0,
19610403,-3.0,6.1,1.7,-6.6,0.3,6.7,
19610404,-1.1,2.2,1.2,-1.4,0.7,4.9,
19610405,-0.8,4.6,1.8,-3.9,0.9,5.2,
19610406,1.5,3.2,3.1,-0.4,2.1,3.5,
19610407,4.1,4.2,2.8,2.8,3.5,4.5,
19610408,0.2,7.2,1.3,-2.4,2.2,9.0,
19610409,-1.3,5.0,4.0,-2.1,2.1,7.2,
19610410,-0.2,6.8,6.2,-1.9,3.4,7.7,
19610411,1.2,6.5,3.7,-1.5,3.0,7.6,
19610412,2.2,6.3,4.3,-0.7,3.5,7.0,
19610413,5.1,6.4,2.6,2.5,4.4,8.4,
19610414,7.9,15.2,11.0,2.5,9.9,16.3,
19610415,9.0,12.1,9.9,7.9,10.2,15.3,
19610416,6.3,12.4,9.8,4.6,8.9,14.8,
19610417,4.4,12.6,9.3,-1.5,7.1,13.9,
19610418,6.8,12.7,11.8,3.5,9.3,13.4,
19610419,4.6,10.2,6.3,2.2,6.4,11.9,
19610420,1.5,8.3,3.6,-4.8,3.0,10.0,
19610421,4.2,10.0,5.8,-1.7,5.2,10.8,
19610422,4.0,11.3,8.8,0.3,6.9,12.5,
19610423,5.2,12.2,9.0,-0.5,7.4,14.8,
19610424,4.7,17.8,14.6,1.3,10.7,19.0,
19610425,8.0,18.4,14.2,0.3,11.4,19.5,
19610426,10.3,17.8,15.0,1.3,12.2,19.0,
19610427,8.0,16.9,9.8,1.2,9.9,18.5,
19610428,4.2,7.5,6.0,2.1,5.5,9.8,
19610429,2.9,10.9,7.3,-4.4,5.0,11.3,
19610430,5.2,10.3,6.7,2.9,6.8,11.9,
19610501,3.2,10.3,7.2,-3.7,4.7,11.2,
19610502,4.2,12.0,7.8,1.8,6.9,13.1,
19610503,7.4,12.6,10.4,2.8,8.8,14.6,
19610504,7.8,13.3,12.3,7.4,10.6,15.2,
19610505,10.5,16.0,9.7,2.4,10.2,17.6,
19610506,9.2,10.9,10.8,7.5,9.7,11.2,
19610507,10.0,15.5,11.5,6.5,11.3,16.5,
19610508,7.9,12.5,9.4,7.0,9.6,14.5,
19610509,4.5,6.1,5.9,4.2,5.6,9.8,
19610510,5.2,6.8,5.8,4.0,5.6,7.8,
19610511,4.9,7.8,6.8,2.1,5.7,8.8,
19610512,6.3,11.2,12.0,1.8,8.3,14.0,
19610513,10.7,12.5,11.5,4.1,10.0,13.9,
19610514,6.0,7.8,8.4,5.4,7.4,11.6,
19610515,6.0,12.5,10.5,4.1,8.7,14.2,
19610516,7.4,12.1,10.0,3.5,8.7,14.3,
19610517,8.0,15.3,14.1,2.4,10.5,16.8,
19610518,9.5,13.9,15.1,3.5,10.9,16.0,
19610519,10.1,12.4,9.2,6.8,10.2,16.4,
19610520,6.9,7.2,8.0,6.1,7.3,9.4,
19610521,9.2,13.2,11.8,5.1,10.2,14.4,
19610522,8.4,14.8,11.1,2.3,9.6,15.6,
19610523,10.0,14.9,13.8,7.0,11.8,16.0,
19610524,11.3,18.8,15.5,4.0,12.9,19.9,
19610525,10.4,16.0,16.0,8.0,13.0,17.8,
19610526,10.8,16.1,13.2,6.7,12.1,17.4,
19610527,9.0,10.2,9.2,8.2,9.5,13.4,
19610528,10.3,11.0,10.2,8.1,10.0,11.5,
19610529,8.1,11.2,10.6,7.5,9.8,14.2,
19610530,10.9,22.2,19.8,6.7,15.7,24.6,
19610531,12.5,21.2,18.5,9.3,15.9,22.2,
19610601,15.2,21.0,16.8,11.1,16.4,23.4,
19610602,14.8,22.9,19.4,9.2,16.9,23.5,
19610603,17.8,24.0,23.2,9.8,18.9,24.8,
19610604,19.2,25.2,22.4,12.5,20.1,26.4,
19610605,19.6,26.5,24.0,11.5,20.7,28.1,
19610606,20.7,26.7,21.6,13.1,20.8,28.0,
19610607,20.3,25.9,23.0,14.3,21.2,27.3,
19610608,21.8,25.1,20.1,12.1,19.9,25.7,
19610609,17.2,23.2,22.4,15.3,19.9,25.3,
19610610,18.3,22.9,15.5,12.8,17.6,23.5,
19610611,12.1,16.9,18.0,11.5,14.9,18.6,
19610612,15.7,21.7,20.1,12.3,17.8,23.9,
19610613,16.8,19.4,19.6,15.4,17.9,20.1,
19610614,15.6,17.6,17.2,11.5,15.9,21.6,
19610615,13.8,14.0,12.7,12.1,13.5,17.6,
19610616,10.4,10.9,11.4,10.0,10.9,13.0,
19610617,11.8,20.5,17.0,10.4,15.3,21.4,
19610618,14.8,19.0,18.0,14.1,16.8,20.7,
19610619,13.7,18.8,15.5,11.2,15.0,19.2,
19610620,13.2,17.4,17.4,10.7,15.0,19.2,
19610621,12.3,15.7,16.0,10.5,13.9,17.6,
19610622,12.7,16.1,16.7,9.7,14.1,18.8,
19610623,13.4,17.0,14.5,12.2,14.6,19.0,
19610624,13.3,18.3,15.2,10.7,14.7,19.6,
19610625,13.2,14.5,18.3,10.3,14.5,18.8,
19610626,13.5,18.7,19.2,12.0,16.3,21.8,
19610627,14.0,14.2,14.3,13.4,14.5,19.5,
19610628,12.4,13.3,17.9,12.1,14.4,18.2,
19610629,14.6,19.5,19.3,11.1,16.4,21.5,
19610630,15.9,21.2,18.4,13.5,17.6,22.6,
19610701,15.8,23.3,23.6,12.6,19.4,26.5,
19610702,18.5,24.4,22.0,16.5,20.6,25.2,
19610703,19.3,21.9,16.7,15.4,18.5,23.6,
19610704,13.3,13.5,14.0,12.3,13.6,16.9,
19610705,14.4,14.0,13.8,10.8,13.4,16.5,
19610706,12.2,12.2,13.9,10.5,12.5,15.1,
19610707,14.1,12.2,16.0,10.5,13.6,17.7,
19610708,14.8,17.8,17.3,7.0,14.4,19.6,
19610709,14.2,16.9,14.2,11.8,14.4,17.7,
19610710,14.5,16.1,15.0,13.5,14.9,17.2,
19610711,12.5,17.2,15.3,11.8,14.5,18.7,
19610712,12.0,18.1,18.0,11.3,15.2,19.8,
19610713,15.8,18.2,16.4,8.5,14.8,19.4,
19610714,17.8,20.8,15.9,13.2,16.9,21.2,
19610715,16.0,19.0,18.5,13.2,17.0,21.6,
19610716,15.4,23.2,21.1,14.2,18.9,24.5,
19610717,17.2,24.0,20.2,11.3,18.3,24.5,
19610718,17.5,18.2,16.9,11.8,16.4,22.5,
19610719,15.6,19.1,17.1,12.8,16.4,20.5,
19610720,15.9,20.8,18.8,13.1,17.3,21.0,
19610721,13.4,19.7,15.0,10.5,14.9,20.5,
19610722,12.6,12.2,12.4,11.3,12.4,15.5,
19610723,13.6,16.5,16.1,11.7,14.6,17.0,
19610724,13.4,18.8,19.6,12.9,16.6,20.8,
19610725,15.2,14.8,17.1,12.0,15.2,19.8,
19610726,13.2,13.8,14.7,11.3,13.6,17.5,
19610727,13.6,17.2,14.7,12.8,14.7,17.6,
19610728,12.8,15.0,14.4,11.9,13.8,16.7,
19610729,14.5,17.1,16.9,11.7,15.3,19.4,
19610730,16.0,20.0,18.1,10.7,16.4,22.0,
19610731,13.0,17.3,15.5,7.7,13.5,18.4,
19610801,16.3,19.7,16.7,14.2,17.1,20.8,
19610802,14.3,18.1,17.5,13.2,16.1,19.2,
19610803,14.0,19.0,17.4,12.0,15.9,19.7,
19610804,12.3,16.8,13.2,10.3,13.5,17.4,
19610805,13.2,16.7,17.9,12.6,15.5,19.0,
19610806,12.8,14.8,16.9,9.9,14.0,19.3,
19610807,13.7,20.3,16.7,9.3,15.4,20.6,
19610808,14.5,19.7,17.5,10.3,16.0,22.5,
19610809,14.7,16.9,16.7,12.4,15.4,18.2,
19610810,13.6,18.5,16.5,10.7,15.2,20.1,
19610811,14.4,18.5,18.4,11.0,15.9,20.6,
19610812,14.2,18.1,15.9,11.4,15.3,20.0,
19610813,12.4,16.6,15.9,11.4,14.5,18.9,
19610814,12.8,17.8,12.8,9.2,13.6,18.7,
19610815,12.3,14.2,14.8,11.3,13.6,17.7,
19610816,13.5,15.3,13.6,9.0,13.1,16.8,
19610817,12.8,15.6,12.8,9.8,13.1,17.0,
19610818,11.8,14.1,13.1,8.1,11.9,14.9,
19610819,13.7,13.8,13.2,11.5,13.4,17.2,
19610820,11.7,14.6,17.2,10.8,14.0,18.5,
19610821,12.1,17.6,16.3,11.2,14.8,19.6,
19610822,12.9,15.0,11.7,9.7,12.6,16.4,
19610823,11.4,15.0,14.1,10.9,13.3,17.1,
19610824,12.1,17.0,15.1,9.1,13.7,18.2,
19610825,11.5,11.1,9.8,9.1,10.8,15.5,
19610826,10.2,17.8,15.3,7.5,13.3,19.8,
19610827,14.2,18.9,16.8,11.4,15.8,21.0,
19610828,12.6,15.9,15.7,11.9,14.5,19.5,
19610829,11.9,18.6,16.1,8.6,14.3,20.4,
19610830,13.8,22.8,19.8,8.3,16.7,23.7,
19610831,15.4,22.1,19.5,13.2,18.0,23.2,
19610901,16.2,23.0,19.5,11.2,18.5,24.4,
19610902,12.6,21.0,15.5,9.5,15.7,22.4,
19610903,14.5,13.1,13.3,12.1,13.6,15.7,
19610904,7.8,13.8,13.2,3.8,10.7,16.9,
19610905,11.3,13.6,12.8,9.9,12.2,14.2,
